"","Admission Date","Company Name","ICB Industry","ICB Super-Sector","Country of Incorporation","World Region","Market","International Issuer","Company Market Cap (£m)"
"","13/05/2016","MOTORPOINT GROUP PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","MAIN MARKET ","No","285.88"
"","30/10/2008","MOUNTFIELD GROUP PLC","Industrials","Construction and Materials","United Kingdom","Europe","AIM ","No","3.81"
"","17/02/1960","MOUNTVIEW ESTATES PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","471.78"
"","19/06/2014","MPAC GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","56.08"
"","28/10/2002","M.P. EVANS GROUP PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","AIM ","No","385.59"
"","24/03/1965","MS INTERNATIONAL PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","29.73"
"","16/03/2006","MTI WIRELESS EDGE LTD.","Telecommunications","Telecommunications","Israel","Middle East","AIM ","Yes","33.84"
"","23/05/1996","MULBERRY GROUP PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","AIM ","No","149.59"
"","17/09/1953","MURRAY INCOME TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","596.32"
"","21/06/1945","MURRAY INTERNATIONAL TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1,529.65"
"","03/08/1995","MUSEDIA CORPORATION","Industrials","Industrial Goods and Services","United States","North America","MAIN MARKET ","Yes","2.06"
"","29/07/2019","MUSTANG ENERGY PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","0.92"
"","12/11/2009","M WINKWORTH PLC","Real Estate","Real Estate ","United Kingdom","Europe","AIM ","No","19.61"
"","06/02/2015","MXC CAPITAL LIMITED","Financials","Financial Services ","Guernsey","Europe","AIM ","No","46.35"
"","27/06/2013","MYANMAR INVESTMENTS INTERNATIONAL LIMITED","Financials","Financial Services ","British Virgin Islands","North America","AIM ","Yes","23.41"
"","22/08/2017","MYANMAR STRATEGIC HOLDINGS LIMITED","Consumer Discretionary","Travel and Leisure","Singapore","Asia","MAIN MARKET ","Yes","19.27"
"","04/08/2011","MYCELX TECHNOLOGIES CORPORATION","Utilities","Utilities","United States","North America","AIM ","Yes","11.38"
"","16/06/2014","MYSALE GROUP PLC","Consumer Discretionary","Retail ","Jersey","Europe","AIM ","No","35.55"
"","07/06/2005","N4 PHARMA PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","3.2"
"","29/05/2014","NAHL GROUP PLC","Consumer Discretionary","Media","United Kingdom","Europe","AIM ","No","44.58"
"","16/12/1996","NAKAMA GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","1"
"","11/11/1996","NAKED WINES PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","AIM ","No","153.03"
"","01/05/2015","NANOCO GROUP PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","48.94"
"","23/08/2007","NASPERS LIMITED","Technology","Technology","South Africa","Africa","MAIN MARKET ","Yes","-"
"","26/04/1995","NATIONAL EXPRESS GROUP PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","MAIN MARKET ","No","2,287.47"
"","31/01/2002","NATIONAL GRID PLC","Utilities","Utilities","United Kingdom","Europe","MAIN MARKET ","No","35,286.05"
"","19/09/2019","NATIONAL WORLD PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","5.94"
"","11/07/1986","NATIONWIDE BUILDING SOCIETY","Financials","Banks","United Kingdom","Europe","MAIN MARKET ","No","1,722"
"","10/06/2010","NB DISTRESSED DEBT INVESTMENT FUND LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","122.55"
"","20/04/2011","NB GLOBAL FLOATING RATE INCOME FUND LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","399.98"
"","30/06/2009","NB PRIVATE EQUITY PARTNERS LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","586.16"
"","13/07/2007","NCC GROUP PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","597.38"
"","10/06/2010","NCONDEZI ENERGY LIMITED","Energy","Energy","British Virgin Islands","North America","AIM ","Yes","15.76"
"","03/11/2014","NEKTAN PLC","Consumer Discretionary","Travel and Leisure","Gibraltar","Europe","AIM ","Yes","5.08"
"","30/07/2010","NETCALL PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","51.71"
"","16/09/2013","NETSCIENTIFIC PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","3.73"
"","10/04/2019","NETWORK INTERNATIONAL HOLDINGS PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","3,040"
"","03/04/2007","NEW CENTURY AIM VCT 2 PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","2.28"
"","24/03/2005","NEW CENTURY AIM VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","6.4"
"","20/09/2002","NEWMARK SECURITY PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","6.8"
"","18/08/2016","NEWRIVER REIT PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","575.52"
"","02/05/2000","NEW STAR INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","84.87"
"","28/06/2012","NEW TREND LIFESTYLE GROUP PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","AIM ","No","1.01"
"","25/04/2014","NEXTENERGY SOLAR FUND LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","692.28"
"","31/03/2005","NEXT FIFTEEN COMMUNICATIONS GROUP PLC","Consumer Discretionary","Media","United Kingdom","Europe","AIM ","No","437.96"
"","25/11/2002","NEXT PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","MAIN MARKET ","No","9,182.14"
"","11/07/2017","NEXUS INFRASTRUCTURE PLC","Industrials","Construction and Materials","United Kingdom","Europe","AIM ","No","82.33"
"","11/06/2004","NICHOLS PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","AIM ","No","496.3"
"","17/04/1997","NMBZ HOLDINGS LD","Financials","Banks","Zimbabwe","Africa","MAIN MARKET ","Yes","-"
"","05/04/2012","NMC HEALTH PLC","Health Care ","Health Care  ","United Kingdom","Europe","MAIN MARKET ","No","2,696.45"
"","25/03/1973","NMCN PLC","Industrials","Construction and Materials","United Kingdom","Europe","MAIN MARKET ","No","57.18"
"","14/04/2016","NON-STANDARD FINANCE PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","89.04"
"","16/07/2007","NORCROS PLC","Industrials","Construction and Materials","United Kingdom","Europe","MAIN MARKET ","No","231.74"
"","31/03/2005","NORISH PLC","Industrials","Industrial Goods and Services","Ireland","Europe","AIM ","Yes","24.36"
"","03/12/2008","NORMAN BROADBENT PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","4.31"
"","02/09/2013","NORTHAMBER PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","14.49"
"","21/10/1952","NORTH AMERICAN INCOME TRUST (THE) PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","415.5"
"","31/01/1973","NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","481.44"
"","28/03/2006","NORTHBRIDGE INDUSTRIAL SERVICES PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","43.94"
"","21/04/1999","NORTHERN 2 VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","81.09"
"","17/12/2001","NORTHERN 3 VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","80.51"
"","19/12/2006","NORTHERN BEAR PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","13.62"
"","11/09/1995","NORTHERN ELECTRIC PLC","Utilities","Utilities","United Kingdom","Europe","MAIN MARKET ","No","157.44"
"","01/11/1995","NORTHERN VENTURE TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","88.31"
"","10/01/1955","NORTHGATE PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","354.4"
"","23/02/2005","NOSTRA TERRA OIL AND GAS COMPANY PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","1.58"
"","20/06/2014","NOSTRUM OIL & GAS PLC","Energy","Energy","United Kingdom","Europe","MAIN MARKET ","No","21"
"","01/11/2017","NOVACYT S.A.","Health Care ","Health Care  ","France","Europe","AIM ","Yes","16"
"","14/11/2018","NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA","Financials","Banks","Slovenia","Europe","MAIN MARKET ","Yes","-"
"","15/12/2005","NOVOLIPETSK STEEL","Basic Materials","Basic Resources","Russian Federation","Europe","MAIN MARKET ","Yes","-"
"","26/07/2018","NUCLEUS FINANCIAL GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","138.8"
"","17/12/2015","NUFORMIX PLC","Health Care ","Health Care  ","United Kingdom","Europe","MAIN MARKET ","No","38.48"
"","27/03/1996","NUMIS CORPORATION PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","304.22"
"","20/03/2008","NU-OIL AND GAS PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","1.44"
"","25/09/1995","NWF GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","90.68"
"","03/08/2007","OAKLEY CAPITAL INVESTMENTS LIMITED","Financials","Financial Services ","Bermuda","North America","MAIN MARKET ","Yes","540.19"
"","26/07/2010","OCADO GROUP PLC","Consumer Staples ","Personal Care, Drug and Grocery Stores ","United Kingdom","Europe","MAIN MARKET ","No","8,691.40"
"","08/03/2017","OCEAN OUTDOOR LIMITED","Consumer Discretionary","Media","British Virgin Islands","North America","MAIN MARKET ","Yes","303.49"
"","13/07/1992","OCEAN WILSONS (HOLDINGS) LD","Industrials","Industrial Goods and Services","Bermuda","North America","MAIN MARKET ","Yes","358.93"
"","03/08/2010","OCTAGONAL PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","9.24"
"","25/01/2006","OCTOPUS AIM VCT 2 PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","82.53"
"","17/03/1998","OCTOPUS AIM VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","119.81"
"","17/10/2006","OCTOPUS APOLLO VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","124.66"
"","10/12/2019","OCTOPUS RENEWABLES INFRASTRUCTURE TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","378"
"","28/12/2007","OCTOPUS TITAN VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","824.81"
"","01/05/2018","ODYSSEAN INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","102.38"
"","06/12/2006","OIL AND GAS DEVELOPMENT COMPANY LIMITED","Energy","Energy","Pakistan","Asia","MAIN MARKET ","Yes","-"
"","16/02/2006","OILEX LD","Energy","Energy","Australia","Pacific","AIM ","Yes","5.04"
